"Label (Grouping)","Gini Index"
"United States",""
"    Estimate","0.4811"
"Alabama",""
"    Estimate","0.4741"
"Alaska",""
"    Estimate","0.4376"
"Arizona",""
"    Estimate","0.4591"
"Arkansas",""
"    Estimate","0.4750"
"California",""
"    Estimate","0.4866"
"Colorado",""
"    Estimate","0.4548"
"Connecticut",""
"    Estimate","0.5024"
"Delaware",""
"    Estimate","0.4509"
"District of Columbia",""
"    Estimate","0.5115"
"Florida",""
"    Estimate","0.4808"
"Georgia",""
"    Estimate","0.4795"
"Hawaii",""
"    Estimate","0.4397"
"Idaho",""
"    Estimate","0.4337"
"Illinois",""
"    Estimate","0.4800"
"Indiana",""
"    Estimate","0.4584"
"Iowa",""
"    Estimate","0.4422"
"Kansas",""
"    Estimate","0.4500"
"Kentucky",""
"    Estimate","0.4764"
"Louisiana",""
"    Estimate","0.4978"
"Maine",""
"    Estimate","0.4490"
"Maryland",""
"    Estimate","0.4558"
"Massachusetts",""
"    Estimate","0.4803"
"Michigan",""
"    Estimate","0.4634"
"Minnesota",""
"    Estimate","0.4434"
"Mississippi",""
"    Estimate","0.4896"
"Missouri",""
"    Estimate","0.4633"
"Montana",""
"    Estimate","0.4597"
"Nebraska",""
"    Estimate","0.4400"
"Nevada",""
"    Estimate","0.4710"
"New Hampshire",""
"    Estimate","0.4406"
"New Jersey",""
"    Estimate","0.4782"
"New Mexico",""
"    Estimate","0.4768"
"New York",""
"    Estimate","0.5149"
"North Carolina",""
"    Estimate","0.4743"
"North Dakota",""
"    Estimate","0.4558"
"Ohio",""
"    Estimate","0.4651"
"Oklahoma",""
"    Estimate","0.4739"
"Oregon",""
"    Estimate","0.4500"
"Pennsylvania",""
"    Estimate","0.4745"
"Rhode Island",""
"    Estimate","0.4628"
"South Carolina",""
"    Estimate","0.4747"
"South Dakota",""
"    Estimate","0.4360"
"Tennessee",""
"    Estimate","0.4749"
"Texas",""
"    Estimate","0.4753"
"Utah",""
"    Estimate","0.4268"
"Vermont",""
"    Estimate","0.4471"
"Virginia",""
"    Estimate","0.4690"
"Washington",""
"    Estimate","0.4577"
"West Virginia",""
"    Estimate","0.4644"
"Wisconsin",""
"    Estimate","0.4391"
"Wyoming",""
"    Estimate","0.4345"
"Puerto Rico",""
"    Estimate","0.5509"